,precision,recall,f1-score,support
Good,0.8032786885245902,0.08526682134570766,0.15416885159937074,1724.0
Moderate,0.7479219021844191,0.8667114695340502,0.802946975199751,8928.0
USG,0.3521079258010118,0.46482635796972394,0.4006908462867012,2246.0
Unhealthy,0.673469387755102,0.47545357524012805,0.5573975602126994,1874.0
Very Unhealthy,0.0,0.0,0.0,45.0
Hazardous,0.0,0.0,0.0,0.0
accuracy,0.6627522440440035,0.6627522440440035,0.6627522440440035,0.6627522440440035
macro avg,0.4294629840441872,0.3153763706816016,0.3192007055497537,14817.0
weighted avg,0.6826763336519553,0.6627522440440035,0.632989968505043,14817.0
