round,train_rmse,val_rmse
1,19.669314241411815,25.322516620302792
2,19.169660547114276,24.879331771525685
3,18.71224057714925,24.521847022998
4,18.28311983879559,24.136235209205957
5,17.886267648367916,23.764234299483824
6,17.51937707183361,23.421946171699993
7,17.170155397568912,23.108050649545262
8,16.84827095463629,22.831119248035712
9,16.546079662814112,22.544038369068822
10,16.259165817890665,22.29644591737797
11,16.003950498087057,22.05549274768722
12,15.765487874668201,21.852138276056813
13,15.546359200349169,21.629097479088138
14,15.342165312275037,21.44542710955764
15,15.145245656170227,21.269254496759213
16,14.962545615707755,21.095504582042068
17,14.796182474312388,20.943732000819338
18,14.637370929792668,20.81408713286684
19,14.489973790833016,20.67386040139349
20,14.347749016918055,20.55546670643422
21,14.219443830864938,20.43770531285865
22,14.095387834829758,20.34412179609691
23,13.984096122876096,20.267114943567698
24,13.880313655586411,20.187003600475897
25,13.781100368312893,20.107119824434584
26,13.67910006848415,20.020065446586905
27,13.591892971795835,19.92960480336405
28,13.511957566274734,19.865381234064202
29,13.434985158091873,19.791791489184128
30,13.352807715647314,19.734328884531273
31,13.284158300357555,19.671538061333557
32,13.217840736937736,19.62968115755324
33,13.145506223565237,19.573640568717916
34,13.090415927332979,19.525383164158708
35,13.037970649283361,19.475038760617213
36,12.979736189070218,19.43493911233283
37,12.934150449297354,19.409953946378373
38,12.8835009687821,19.372968297237946
39,12.831725114503884,19.332696014701856
40,12.785146205504764,19.299756079484723
41,12.742550889203214,19.286462498379482
42,12.69941680347991,19.25325604500531
43,12.649754629444129,19.22943453186305
44,12.6149594747937,19.2030688716543
45,12.572026069339055,19.181518545455187
46,12.539514185933125,19.167002914370478
47,12.509119679390277,19.137998680460903
48,12.475829170397057,19.119688080247975
49,12.439090695771037,19.09740627272871
50,12.392191691385179,19.07053992313381
51,12.360914266864368,19.039931547297883
52,12.328380723139178,19.020896766276223
53,12.297578397803235,19.007169299606318
54,12.270480725063777,18.997100781107655
55,12.237030669223696,18.975102990952163
56,12.2090136853918,18.96490290151087
57,12.182591193687301,18.96407304479085
58,12.158089181022964,18.94409657953188
59,12.132754596651555,18.930248831733735
60,12.107109142142443,18.925268151319322
61,12.075959097228468,18.909608645292067
62,12.052438046167818,18.909020568842504
63,12.032476301145369,18.907899840606802
64,12.00682809929897,18.908723951946293
65,11.981030171199958,18.906363851237714
66,11.950565928550652,18.91126321272867
67,11.915639116157642,18.93145412295749
68,11.886949995442018,18.929691287724772
69,11.86283869616506,18.92760730793644
70,11.834316832855547,18.927467815246825
71,11.810122531703847,18.92882302179343
72,11.786186763338476,18.92859877124703
73,11.762159066645301,18.922036006143628
74,11.73057391944136,18.919315998405843
75,11.70265897515535,18.928254932137232
76,11.687425540885462,18.923607940842537
77,11.668916785159373,18.922062066873195
78,11.642537499694027,18.926192431214808
79,11.628588529149223,18.925267468462426
80,11.615252848585863,18.916603498044207
81,11.593824209921424,18.914896525186872
82,11.570126287810062,18.898977480635693
83,11.5518934720286,18.89845058321586
84,11.536314648435939,18.899098918521172
85,11.517116338358973,18.90221814496521
86,11.501647358567022,18.906363706107783
87,11.473604971457059,18.91340655184071
88,11.447759394241183,18.915344835305234
89,11.421460924884478,18.924769939123987
90,11.407877005323265,18.92595716489613
91,11.394154422831178,18.931084911867394
92,11.377406428761457,18.922514504854718
93,11.360093327079452,18.91914959850816
94,11.338411646239994,18.913945414547843
95,11.322967668229646,18.905671440851307
96,11.302499479442782,18.913096799025436
97,11.283617056135133,18.92188790924414
98,11.265626804899773,18.926478343951974
99,11.247532429986197,18.933201701887114
100,11.227637346593614,18.928093115056157
101,11.213255601246098,18.926123242663497
102,11.197413095934282,18.929912031842676
103,11.180022888377149,18.92301287803793
104,11.163585922723883,18.922738143038302
105,11.140470580893238,18.924605625870058
106,11.123396538750434,18.923088574471315
107,11.10874540990801,18.929047981074927
108,11.096594235423764,18.9280318035687
109,11.081941955794916,18.928849147644698
110,11.061555631114517,18.927922710604808
111,11.043288302459203,18.934451668849977
112,11.030515922468968,18.936844712036038
113,11.0140067887209,18.939866106902453
